ride_id,timestamp,passenger_id,trip_distance,fare_amount
ride_1_2257,2025-11-22 12:31:04.476524,27,10.1,27.0
ride_1_1685,2025-11-19 12:31:04.476542,70,17.39,50.05
ride_1_7134,2025-11-17 12:31:04.476548,1,15.51,13.4
ride_1_5998,2025-11-19 12:31:04.476553,2,9.85,20.04
ride_1_8934,2025-11-18 12:31:04.476558,13,5.92,71.37
ride_1_2777,2025-11-22 12:31:04.476563,61,2.48,77.17
ride_1_2887,2025-11-23 12:31:04.476569,22,13.4,89.92
ride_1_3568,2025-11-24 12:31:04.476573,25,18.93,31.32
ride_1_6660,2025-11-21 12:31:04.476578,13,7.54,50.04
ride_1_1780,2025-11-22 12:31:04.476583,25,8.2,59.81
ride_1_9586,2025-11-17 12:31:04.476588,12,17.04,23.41
ride_1_3905,2025-11-20 12:31:04.476593,19,15.54,11.73
ride_1_3710,2025-11-19 12:31:04.476598,86,7.33,26.82
ride_1_2151,2025-11-19 12:31:04.476603,8,1.2,85.06
ride_1_8992,2025-11-22 12:31:04.476608,22,-0.37,86.89
ride_1_9899,2025-11-23 12:31:04.476613,51,13.33,36.25
ride_1_6127,2025-11-21 12:31:04.476618,51,-0.3,53.32
ride_1_5437,2025-11-20 12:31:04.476623,46,0.55,11.28
ride_1_1735,2025-11-20 12:31:04.476628,26,19.82,19.46
ride_1_3151,2025-11-17 12:31:04.476632,26,17.98,54.95
